Kab/kota,Provinsi,Kategori,Divaksin 1
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,4
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,10
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,0
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,1
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,6
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,3
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,5
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,12
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,8
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,17
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,85
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,36
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,29
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,22
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,60
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,3
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,8
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,3
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,8
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,14
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,33
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,13
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,8
Kab. Lampung Selatan,Lampung,LANSIA,1
Kab. Lampung Selatan,Lampung,LANSIA,37
Kab. Lampung Selatan,Lampung,LANSIA,55
Kab. Lampung Selatan,Lampung,LANSIA,17
Kab. Lampung Selatan,Lampung,LANSIA,31
Kab. Lampung Selatan,Lampung,LANSIA,8
Kab. Lampung Selatan,Lampung,LANSIA,69
Kab. Lampung Selatan,Lampung,LANSIA,55
Kab. Lampung Selatan,Lampung,LANSIA,1
Kab. Lampung Selatan,Lampung,LANSIA,100
Kab. Lampung Selatan,Lampung,LANSIA,17
Kab. Lampung Selatan,Lampung,LANSIA,12
Kab. Lampung Selatan,Lampung,LANSIA,6
Kab. Lampung Selatan,Lampung,LANSIA,4
Kab. Lampung Selatan,Lampung,LANSIA,5
Kab. Lampung Selatan,Lampung,LANSIA,35
Kab. Lampung Selatan,Lampung,LANSIA,51
Kab. Lampung Selatan,Lampung,LANSIA,57
Kab. Lampung Selatan,Lampung,LANSIA,41
Kab. Lampung Selatan,Lampung,LANSIA,9
Kab. Lampung Selatan,Lampung,LANSIA,10
Kab. Lampung Selatan,Lampung,LANSIA,68
Kab. Lampung Selatan,Lampung,LANSIA,180
Kab. Lampung Selatan,Lampung,LANSIA,51
Kab. Lampung Selatan,Lampung,LANSIA,146
Kab. Lampung Selatan,Lampung,LANSIA,72
Kab. Lampung Selatan,Lampung,LANSIA,47
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,4
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,1
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,0
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,0
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,0
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,1
Kab. Lampung Selatan,Lampung,PENDIDIK,0
Kab. Lampung Selatan,Lampung,BUMN,11
Kab. Lampung Selatan,Lampung,BUMN,0
Kab. Lampung Selatan,Lampung,BUMN,0
Kab. Lampung Selatan,Lampung,TRANSPORTASI PUBLIK,0
Kab. Lampung Selatan,Lampung,LANSIA,29
Kab. Lampung Selatan,Lampung,LANSIA,0
Kab. Lampung Selatan,Lampung,LANSIA,98
Kab. Lampung Selatan,Lampung,LANSIA,40
Kab. Lampung Selatan,Lampung,LANSIA,5
Kab. Lampung Selatan,Lampung,LANSIA,10
Kab. Lampung Selatan,Lampung,LANSIA,150
Kab. Lampung Selatan,Lampung,LANSIA,22
Kab. Lampung Selatan,Lampung,LANSIA,1
Kab. Lampung Selatan,Lampung,LANSIA,15
Kab. Lampung Selatan,Lampung,LANSIA,32
Kab. Lampung Selatan,Lampung,LANSIA,13
Kab. Lampung Selatan,Lampung,LANSIA,11
Kab. Lampung Selatan,Lampung,LANSIA,107
Kab. Lampung Selatan,Lampung,LANSIA,107
Kab. Lampung Selatan,Lampung,LANSIA,135
Kab. Lampung Selatan,Lampung,LANSIA,68
Kab. Lampung Selatan,Lampung,LANSIA,12
Kab. Lampung Selatan,Lampung,LANSIA,23
Kab. Lampung Selatan,Lampung,LANSIA,3
Kab. Lampung Selatan,Lampung,LANSIA,67
Kab. Lampung Selatan,Lampung,LANSIA,20
Kab. Lampung Selatan,Lampung,MASYARAKAT RENTAN,6
Kab. Lampung Selatan,Lampung,MASYARAKAT RENTAN,0
Kab. Lampung Selatan,Lampung,MASYARAKAT RENTAN,3
Kab. Lampung Selatan,Lampung,MASYARAKAT RENTAN,0
Kab. Lampung Selatan,Lampung,BUMN,0
Kab. Lampung Selatan,Lampung,WARTAWAN DAN PEKERJA MEDIA,1
Kab. Lampung Selatan,Lampung,POLRI,1
Kab. Lampung Selatan,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Selatan,Lampung,Menunggu Konfirmasi,3
Kab. Lampung Selatan,Lampung,Menunggu Konfirmasi,3
Kab. Lampung Selatan,Lampung,PENDIDIK,148
Kab. Lampung Selatan,Lampung,PENDIDIK,245
Kab. Lampung Selatan,Lampung,PENDIDIK,30
Kab. Lampung Selatan,Lampung,Menunggu Konfirmasi,1
Kab. Lampung Selatan,Lampung,Menunggu Konfirmasi,1
Kab. Lampung Selatan,Lampung,Menunggu Konfirmasi,1
Kab. Lampung Selatan,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Selatan,Lampung,Menunggu Konfirmasi,1
Kab. Lampung Selatan,Lampung,Menunggu Konfirmasi,543
Kab. Lampung Selatan,Lampung,Menunggu Konfirmasi,9
Kab. Lampung Selatan,Lampung,Menunggu Konfirmasi,1521
Kab. Lampung Selatan,Lampung,Menunggu Konfirmasi,1450
